Time,Speed Limit,Fatalities
0:00,40,2
0:00,50,30
0:00,60,125
0:00,70,15
0:00,80,50
0:00,90,5
0:00,100,165
0:00,110,25
0:01,-9,11
0:01,40,1
0:01,50,5
0:01,60,19
0:01,70,3
0:01,80,12
0:01,90,6
0:01,100,42
0:01,110,22
0:02,60,6
0:02,70,1
0:02,80,4
0:02,100,2
0:03,60,2
0:03,70,2
0:03,100,1
0:03,110,1
0:04,50,3
0:04,60,2
0:04,100,1
0:05,-9,6
0:05,50,8
0:05,60,44
0:05,70,9
0:05,75,1
0:05,80,17
0:05,90,4
0:05,100,33
0:05,110,12
0:06,50,1
0:06,60,2
0:06,90,1
0:07,60,1
0:07,80,1
0:07,100,2
0:07,110,1
0:07,130,1
0:08,50,1
0:08,60,1
0:08,70,1
0:08,80,1
0:08,100,1
0:09,50,1
0:09,60,2
0:09,80,1
0:09,110,1
0:10,-9,5
0:10,50,10
0:10,60,33
0:10,70,6
0:10,80,11
0:10,90,3
0:10,100,36
0:10,110,9
0:11,60,1
0:12,60,2
0:12,100,1
0:12,110,3
0:13,60,3
0:13,70,1
0:13,100,3
0:14,60,2
0:14,70,4
0:14,100,1
0:14,110,2
0:15,-9,9
0:15,40,1
0:15,50,8
0:15,60,29
0:15,70,11
0:15,75,1
0:15,80,9
0:15,90,2
0:15,100,30
0:15,110,19
0:16,60,1
0:16,70,1
0:16,80,1
0:16,100,2
0:16,110,1
0:17,60,2
0:17,70,1
0:17,100,1
0:17,110,2
0:18,60,1
0:18,100,1
0:18,110,1
0:20,-9,5
0:20,50,12
0:20,60,38
0:20,70,4
0:20,75,1
0:20,80,11
0:20,90,2
0:20,100,23
0:20,110,16
0:21,50,2
0:21,60,1
0:21,70,1
0:21,80,4
0:22,50,1
0:22,80,1
0:22,100,1
0:23,70,3
0:23,100,2
0:23,110,1
0:24,60,1
0:24,80,2
0:24,100,2
0:24,110,1
0:25,-9,1
0:25,50,5
0:25,60,19
0:25,70,3
0:25,80,9
0:25,100,14
0:25,110,10
0:26,40,1
0:26,50,1
0:26,60,1
0:26,70,1
0:26,80,2
0:26,100,1
0:27,50,2
0:27,60,4
0:28,60,2
0:28,70,1
0:28,80,1
0:28,100,4
0:29,-9,2
0:29,60,3
0:29,80,1
0:29,100,1
0:30,-9,15
0:30,10,1
0:30,40,1
0:30,50,20
0:30,60,56
0:30,70,5
0:30,80,25
0:30,90,11
0:30,100,79
0:30,110,37
0:31,60,2
0:31,75,2
0:31,80,1
0:32,40,1
0:32,60,1
0:32,70,1
0:32,130,1
0:33,40,1
0:33,50,1
0:33,60,2
0:33,100,1
0:34,60,2
0:34,80,2
0:34,100,2
0:35,40,3
0:35,50,1
0:35,60,22
0:35,70,2
0:35,80,4
0:35,90,3
0:35,100,15
0:35,110,8
0:36,60,1
0:36,110,2
0:37,60,4
0:38,80,1
0:39,70,1
0:39,100,2
0:40,-9,3
0:40,50,6
0:40,60,32
0:40,70,2
0:40,75,1
0:40,80,9
0:40,90,3
0:40,100,14
0:40,110,11
0:41,60,2
0:41,80,2
0:42,80,1
0:42,100,2
0:43,60,3
0:43,100,2
0:44,100,1
0:45,-9,4
0:45,50,5
0:45,60,22
0:45,70,7
0:45,80,12
0:45,90,8
0:45,100,29
0:45,110,5
0:46,50,1
0:46,60,1
0:46,90,1
0:47,50,2
0:47,60,1
0:47,80,1
0:48,50,1
0:48,100,3
0:49,50,1
0:50,-9,4
0:50,40,1
0:50,50,5
0:50,60,28
0:50,70,2
0:50,75,2
0:50,80,9
0:50,90,2
0:50,100,14
0:50,110,8
0:51,60,2
0:51,80,1
0:52,60,2
0:52,70,1
0:52,80,2
0:52,110,1
0:53,50,2
0:53,60,3
0:53,100,1
0:54,60,1
0:54,100,1
0:54,110,1
0:55,-9,4
0:55,50,3
0:55,60,18
0:55,70,5
0:55,80,8
0:55,90,2
0:55,100,12
0:55,110,1
0:56,60,1
0:56,100,1
0:56,110,1
0:57,40,1
0:57,50,2
0:57,60,1
0:57,110,2
0:58,50,1
0:58,60,3
0:58,80,1
0:58,100,1
0:59,50,1
0:59,60,1
0:59,100,3
1:00,-9,17
1:00,10,2
1:00,40,3
1:00,50,46
1:00,60,141
1:00,70,25
1:00,80,83
1:00,90,4
1:00,100,202
1:00,110,45
1:01,60,2
1:01,100,1
1:01,110,1
1:02,40,1
1:02,50,1
1:02,60,1
1:02,100,2
1:03,50,4
1:03,110,2
1:04,60,2
1:04,100,2
1:05,-9,3
1:05,50,3
1:05,60,23
1:05,70,4
1:05,80,6
1:05,90,1
1:05,100,6
1:05,110,10
1:06,60,1
1:06,80,1
1:06,100,1
1:07,60,1
1:07,100,1
1:07,110,1
1:08,-9,1
1:08,60,4
1:08,70,1
1:08,80,2
1:08,100,8
1:08,110,1
1:08,130,1
1:09,50,1
1:09,60,2
1:09,80,1
1:10,-9,1
1:10,50,5
1:10,60,26
1:10,70,2
1:10,75,4
1:10,80,7
1:10,90,1
1:10,100,24
1:10,110,9
1:11,50,4
1:11,60,2
1:11,70,1
1:11,80,3
1:11,100,2
1:11,110,1
1:12,50,1
1:12,80,1
1:12,110,2
1:13,60,1
1:13,80,1
1:13,100,2
1:14,50,1
1:14,60,2
1:14,100,2
1:15,-9,1
1:15,50,10
1:15,60,31
1:15,70,2
1:15,75,3
1:15,80,10
1:15,90,2
1:15,100,32
1:15,110,9
1:16,60,1
1:16,70,1
1:17,50,1
1:17,60,2
1:17,70,2
1:17,90,1
1:18,80,1
1:18,100,3
1:19,60,2
1:19,70,2
1:19,80,1
1:19,100,2
1:19,110,1
1:20,-9,1
1:20,40,1
1:20,50,7
1:20,60,28
1:20,70,4
1:20,75,1
1:20,80,16
1:20,100,24
1:20,110,9
1:21,100,1
1:22,-9,1
1:22,90,1
1:23,-9,1
1:23,60,2
1:23,80,1
1:23,100,2
1:24,50,1
1:24,60,1
1:25,50,1
1:25,60,12
1:25,70,3
1:25,75,1
1:25,90,3
1:25,100,15
1:25,110,2
1:26,60,1
1:26,75,1
1:26,80,7
1:26,100,1
1:27,50,1
1:27,80,1
1:28,60,1
1:28,70,2
1:28,100,2
1:29,40,1
1:29,60,2
1:29,80,1
1:30,-9,8
1:30,40,2
1:30,50,11
1:30,60,49
1:30,70,5
1:30,80,24
1:30,90,6
1:30,100,74
1:30,110,28
1:31,100,1
1:32,60,2
1:32,80,1
1:33,50,4
1:33,60,1
1:33,70,2
1:33,90,3
1:33,100,2
1:34,60,3
1:34,90,1
1:34,110,1
1:35,-9,2
1:35,50,4
1:35,60,20
1:35,70,5
1:35,75,1
1:35,80,5
1:35,90,1
1:35,100,10
1:35,110,4
1:36,60,2
1:36,70,2
1:36,100,1
1:37,-9,1
1:37,60,2
1:37,90,2
1:37,100,1
1:37,110,3
1:38,-9,1
1:38,60,1
1:38,90,1
1:38,100,2
1:38,110,1
1:39,60,1
1:39,80,2
1:40,-9,1
1:40,50,3
1:40,60,20
1:40,70,5
1:40,80,13
1:40,90,1
1:40,100,13
1:40,110,3
1:41,60,1
1:41,110,1
1:42,60,2
1:42,80,2
1:43,60,1
1:43,70,1
1:44,80,2
1:44,100,1
1:45,-9,3
1:45,50,4
1:45,60,30
1:45,70,9
1:45,75,3
1:45,80,15
1:45,90,7
1:45,100,29
1:45,110,17
1:46,60,1
1:46,80,2
1:47,60,2
1:47,80,1
1:47,110,2
1:48,80,3
1:48,100,2
1:49,60,1
1:49,70,1
1:49,100,2
1:49,110,1
1:50,-9,2
1:50,40,3
1:50,50,5
1:50,60,26
1:50,70,9
1:50,75,3
1:50,80,14
1:50,100,27
1:50,110,7
1:51,60,2
1:51,100,2
1:52,50,1
1:52,60,1
1:52,70,2
1:52,100,1
1:53,70,2
1:53,80,1
1:54,60,2
1:54,70,1
1:54,80,1
1:54,100,1
1:55,50,2
1:55,60,19
1:55,70,2
1:55,80,3
1:55,100,7
1:55,110,3
1:56,60,1
1:57,60,3
1:58,60,1
1:58,100,1
1:58,110,1
1:59,-9,1
1:59,60,1
1:59,110,1
2:00,-9,15
2:00,40,6
2:00,50,33
2:00,60,130
2:00,70,27
2:00,75,1
2:00,80,55
2:00,90,6
2:00,100,195
2:00,110,39
2:00,130,2
2:01,60,1
2:01,130,1
2:03,60,3
2:03,70,2
2:04,50,4
2:04,60,1
2:04,90,1
2:04,100,2
2:05,50,3
2:05,60,9
2:05,70,4
2:05,80,2
2:05,90,4
2:05,100,9
2:05,110,1
2:06,110,1
2:06,130,2
2:07,70,2
2:08,60,6
2:08,70,2
2:08,75,1
2:08,80,1
2:08,100,2
2:09,60,1
2:10,-9,1
2:10,50,3
2:10,60,32
2:10,70,3
2:10,80,16
2:10,100,29
2:10,110,7
2:11,60,1
2:11,70,1
2:11,100,1
2:12,50,1
2:12,60,1
2:13,60,1
2:13,70,1
2:13,90,1
2:13,100,1
2:14,60,1
2:14,80,2
2:14,90,1
2:15,-9,4
2:15,50,2
2:15,60,24
2:15,75,2
2:15,80,9
2:15,100,28
2:15,110,4
2:16,-9,1
2:16,60,3
2:16,70,2
2:16,80,1
2:17,60,1
2:18,60,1
2:18,70,2
2:18,80,3
2:19,50,1
2:19,70,1
2:19,100,1
2:19,110,1
2:20,-9,2
2:20,40,1
2:20,60,27
2:20,70,7
2:20,75,3
2:20,80,10
2:20,100,19
2:20,110,15
2:22,60,1
2:22,80,1
2:22,90,1
2:22,110,2
2:23,60,1
2:24,50,1
2:24,60,2
2:24,80,2
2:25,50,1
2:25,60,11
2:25,70,4
2:25,80,6
2:25,100,7
2:25,110,7
2:26,50,1
2:26,60,1
2:26,100,4
2:26,110,1
2:27,60,1
2:27,70,1
2:27,100,4
2:27,110,1
2:28,60,2
2:28,70,1
2:29,80,1
2:30,-9,8
2:30,30,1
2:30,40,2
2:30,50,6
2:30,60,56
2:30,70,11
2:30,75,1
2:30,80,31
2:30,90,3
2:30,100,49
2:30,110,42
2:31,60,2
2:31,70,1
2:32,100,1
2:32,110,3
2:33,60,1
2:33,110,1
2:34,50,1
2:34,60,2
2:34,80,1
2:34,100,2
2:34,110,1
2:35,-9,1
2:35,50,1
2:35,60,12
2:35,80,5
2:35,100,4
2:35,110,1
2:36,60,1
2:36,80,1
2:38,70,1
2:38,80,1
2:38,100,1
2:39,60,1
2:39,70,1
2:39,100,1
2:40,-9,2
2:40,50,9
2:40,60,13
2:40,70,2
2:40,80,6
2:40,90,3
2:40,100,20
2:40,110,8
2:41,60,1
2:41,100,1
2:42,50,1
2:43,50,1
2:43,60,1
2:43,100,2
2:43,110,1
2:44,60,2
2:44,75,1
2:44,80,1
2:44,100,1
2:45,50,4
2:45,60,39
2:45,70,2
2:45,80,5
2:45,90,2
2:45,100,18
2:45,110,7
2:46,60,1
2:47,70,1
2:48,50,1
2:48,60,1
2:48,80,1
2:48,100,1
2:48,110,4
2:49,-9,1
2:49,80,2
2:50,-9,1
2:50,50,7
2:50,60,23
2:50,70,9
2:50,75,3
2:50,80,6
2:50,90,1
2:50,100,25
2:50,110,8
2:51,60,1
2:51,70,1
2:52,-9,1
2:52,60,1
2:52,80,1
2:52,110,1
2:53,60,1
2:53,70,1
2:54,60,2
2:54,110,1
2:55,-9,2
2:55,50,4
2:55,60,15
2:55,70,1
2:55,80,5
2:55,90,2
2:55,100,7
2:55,110,5
2:57,50,2
2:57,60,1
2:57,100,1
2:58,60,2
2:58,70,1
2:58,100,1
2:59,40,1
2:59,50,1
2:59,70,1
3:00,-9,10
3:00,20,1
3:00,40,4
3:00,50,18
3:00,60,133
3:00,70,22
3:00,75,3
3:00,80,58
3:00,90,5
3:00,100,185
3:00,110,39
3:00,130,1
3:01,90,2
3:01,100,1
3:02,60,1
3:02,70,1
3:02,100,1
3:02,110,1
3:03,60,1
3:03,70,1
3:03,80,2
3:03,90,2
3:04,100,1
3:05,60,19
3:05,80,5
3:05,90,1
3:05,100,5
3:05,110,4
3:06,60,1
3:06,80,1
3:07,75,1
3:07,100,1
3:08,-9,1
3:08,60,3
3:08,70,1
3:08,80,1
3:08,90,1
3:08,100,2
3:09,70,1
3:09,80,2
3:10,50,5
3:10,60,18
3:10,70,7
3:10,80,9
3:10,90,1
3:10,100,15
3:10,110,8
3:11,40,1
3:11,60,1
3:11,110,3
3:12,50,1
3:12,60,1
3:12,100,1
3:12,110,1
3:13,60,1
3:13,80,3
3:14,60,1
3:14,100,2
3:14,110,1
3:15,-9,3
3:15,20,1
3:15,50,5
3:15,60,30
3:15,70,8
3:15,80,12
3:15,90,2
3:15,100,35
3:15,110,14
3:16,60,1
3:16,80,3
3:16,110,1
3:17,60,1
3:17,70,1
3:17,90,1
3:17,110,1
3:18,60,1
3:18,100,4
3:19,80,2
3:19,100,3
3:20,-9,2
3:20,50,4
3:20,60,18
3:20,70,4
3:20,80,7
3:20,90,1
3:20,100,14
3:20,110,11
3:21,60,3
3:21,70,1
3:21,100,2
3:22,80,5
3:22,100,1
3:23,10,1
3:23,70,1
3:23,80,2
3:23,100,1
3:23,110,1
3:24,60,2
3:24,80,1
3:24,90,1
3:25,50,2
3:25,60,11
